,id,model,typ,architecture,simsfrac,finetuned_type,dropout,epochs,rmse_train,rmse_val,mae_train,mae_val,task
0,MLP6D030FA,mlp,6,4,30,A,0,,3.2300530967311523,3.2516778793091135,2.191071891219901,2.2959481417607632,finetuning
1,MLP6D030FC1,mlp,6,4,30,C-OLS,0,,0.7357715381433263,0.8669946263120136,0.4878437061189052,0.5930858485938422,finetuning
2,MLP6D030FC2,mlp,6,4,30,C-NNLS,0,,1.559732172237704,1.51578419809028,1.1373151224095845,1.1500250900610447,finetuning
3,MLP6D030FD,mlp,6,4,30,D-MLP2,0,5000.0,0.7339783947866635,0.9119288398379822,0.45302617411770035,0.5832622654155669,finetuning
4,MLP6D030FB1,mlp,6,4,30,B-fb,0,10000.0,0.5381652116775513,0.7479766607284546,0.31782087683677673,0.4812776446342468,finetuning
5,MLP6D030FB2,mlp,6,4,30,B-fW2,0,40000.0,1.0245375633239746,1.1160707473754885,0.6652389764785767,0.7414291501045227,finetuning
6,MLP6D050FA,mlp,6,4,50,A,0,,3.3564165138630755,3.3529464161888614,2.2475261772510486,2.340891752810381,finetuning
7,MLP6D050FC1,mlp,6,4,50,C-OLS,0,,0.746921481759611,1.1838683733035518,0.491420573083399,0.6147918977557774,finetuning
8,MLP6D050FC2,mlp,6,4,50,C-NNLS,0,,1.536848431730197,1.5109699209489034,1.0947836893598426,1.1181795839750275,finetuning
9,MLP6D050FD,mlp,6,4,50,D-MLP2,0,5000.0,0.7648802136298518,0.8411496004197645,0.4813028789772299,0.5311781606207406,finetuning
10,MLP6D050FB1,mlp,6,4,50,B-fb,0,10000.0,0.5408275723457336,0.7603434920310974,0.3185117542743683,0.4907989501953125,finetuning
11,MLP6D050FB2,mlp,6,4,50,B-fW2,0,40000.0,0.9555044174194336,1.03927481174469,0.6144633889198303,0.7006610631942749,finetuning
12,MLP6D070FA,mlp,6,4,70,A,0,,3.48095955264439,3.48770683535788,2.3831052212911357,2.49624872574199,finetuning
13,MLP6D070FC1,mlp,6,4,70,C-OLS,0,,0.7416674017678698,0.9160327630852978,0.4974054410864065,0.6432635509771382,finetuning
14,MLP6D070FC2,mlp,6,4,70,C-NNLS,0,,1.693243174746808,1.613275557717597,1.2015325565163857,1.1938386363382876,finetuning
15,MLP6D070FD,mlp,6,4,70,D-MLP2,0,5000.0,0.7651394774986015,0.9478946156543092,0.4804673523804537,0.6003834391937174,finetuning
16,MLP6D070FB1,mlp,6,4,70,B-fb,0,10000.0,0.5368771553039551,0.7703651189804077,0.3148569166660309,0.4907381534576416,finetuning
17,MLP6D070FB2,mlp,6,4,70,B-fW2,0,40000.0,1.00319504737854,1.0639376640319824,0.6619685888290405,0.7322555780410767,finetuning
18,MLP6D0100FA,mlp,6,4,100,A,0,,3.4403910366036428,3.4555994191347863,2.3364141652918526,2.452256112198325,finetuning
19,MLP6D0100FC1,mlp,6,4,100,C-OLS,0,,0.7616293540105548,0.8837479659267456,0.5137474106653229,0.613399646638439,finetuning
20,MLP6D0100FC2,mlp,6,4,100,C-NNLS,0,,1.5894827228808175,1.5781197741489437,1.1088163126878823,1.151578385099606,finetuning
21,MLP6D0100FD,mlp,6,4,100,D-MLP2,0,5000.0,0.7301220737294799,0.9241871470888338,0.45537084440812536,0.5961708135046329,finetuning
22,MLP6D0100FB1,mlp,6,4,100,B-fb,0,10000.0,0.5315696001052856,0.7807241082191467,0.3137877583503723,0.5005717277526855,finetuning
23,MLP6D0100FB2,mlp,6,4,100,B-fW2,0,40000.0,1.0344454050064087,1.0900397300720217,0.6942728757858276,0.7572842836380005,finetuning
24,MLP7D030FA,mlp,7,4,30,A,0,,10.004384957305813,10.382032070730114,6.229437798360602,7.1564593106181915,finetuning
25,MLP7D030FC1,mlp,7,4,30,C-OLS,0,,1.0242130172005786,1.0887444938307693,0.7320699560549179,0.7690979236193421,finetuning
26,MLP7D030FC2,mlp,7,4,30,C-NNLS,0,,2.5447681909407907,2.448388180642767,1.9872308628704378,1.9395829455019453,finetuning
27,MLP7D030FD,mlp,7,4,30,D-MLP2,0,5000.0,0.7771015633535268,0.9481779620820598,0.4867836415747725,0.600033842944284,finetuning
28,MLP7D030FB1,mlp,7,4,30,B-fb,0,10000.0,0.5641677379608154,0.7866249084472656,0.3388946056365967,0.4874206483364105,finetuning
29,MLP7D030FB2,mlp,7,4,30,B-fW2,0,40000.0,1.2267937660217283,1.1240134239196775,0.8919517397880554,0.8031153678894043,finetuning
30,MLP7D050FA,mlp,7,4,50,A,0,,8.742085295754011,7.005193112891305,5.508570743702134,5.3064361061496355,finetuning
31,MLP7D050FC1,mlp,7,4,50,C-OLS,0,,1.073110079746259,1.5248927361180293,0.760928391182911,0.8332226603483276,finetuning
32,MLP7D050FC2,mlp,7,4,50,C-NNLS,0,,2.3956359384830304,2.3939533335202796,1.8041629242267703,1.8068662265194189,finetuning
33,MLP7D050FD,mlp,7,4,50,D-MLP2,0,5000.0,0.7950406955385125,1.0750635635295747,0.49502755279975774,0.6695464314580741,finetuning
34,MLP7D050FB1,mlp,7,4,50,B-fb,0,10000.0,0.5582820773124695,0.7796034812927246,0.3302969038486481,0.4906741976737976,finetuning
35,MLP7D050FB2,mlp,7,4,50,B-fW2,0,40000.0,1.4098074436187744,1.280019998550415,1.0206353664398191,0.8993344306945801,finetuning
36,MLP7D070FA,mlp,7,4,70,A,0,,8.762072914433613,7.156006714489902,5.438984149459307,5.243360452543156,finetuning
37,MLP7D070FC1,mlp,7,4,70,C-OLS,0,,1.0751920817397178,1.0678633400388926,0.7691299407342849,0.7812450732794299,finetuning
38,MLP7D070FC2,mlp,7,4,70,C-NNLS,0,,2.4898477030582447,2.408389040725606,1.895860299762089,1.818543136674192,finetuning
39,MLP7D070FD,mlp,7,4,70,D-MLP2,0,5000.0,0.7708910533404228,0.8953089698973073,0.4818461213191062,0.5857731127859427,finetuning
40,MLP7D070FB1,mlp,7,4,70,B-fb,0,10000.0,0.5569562911987305,0.7641125917434692,0.33023208379745483,0.49260067939758295,finetuning
41,MLP7D070FB2,mlp,7,4,70,B-fW2,0,40000.0,1.416856050491333,1.2909682989120483,1.0115211009979248,0.9060245752334596,finetuning
42,MLP7D0100FA,mlp,7,4,100,A,0,,12.940844201419162,13.01063059834415,7.970917459785643,9.169138302429399,finetuning
43,MLP7D0100FC1,mlp,7,4,100,C-OLS,0,,0.9971738669133645,0.9692713886289193,0.7037051429335435,0.730731276784157,finetuning
44,MLP7D0100FC2,mlp,7,4,100,C-NNLS,0,,2.3393648797196698,2.0805665491164236,1.7747001289556839,1.6181539908599802,finetuning
45,MLP7D0100FD,mlp,7,4,100,D-MLP2,0,5000.0,0.8317163103093662,0.9407579889740066,0.522350068996444,0.6099151343854045,finetuning
46,MLP7D0100FB1,mlp,7,4,100,B-fb,0,10000.0,0.5699505805969238,0.7646061182022095,0.341210275888443,0.4953839182853699,finetuning
47,MLP7D0100FB2,mlp,7,4,100,B-fW2,0,40000.0,1.3459784984588623,1.161882996559143,0.9561001062393188,0.8256415128707886,finetuning
48,MLP8D030FA,mlp,8,4,30,A,0,,4.0763574987297755,4.020282028847351,2.8594524036582194,2.9463732758874097,finetuning
49,MLP8D030FC1,mlp,8,4,30,C-OLS,0,,0.9155739817374503,0.9761511657434759,0.6350351691539158,0.711501340255003,finetuning
50,MLP8D030FC2,mlp,8,4,30,C-NNLS,0,,2.2374444413093335,2.172132039603001,1.6832413088679856,1.6212754205253237,finetuning
51,MLP8D030FD,mlp,8,4,30,D-MLP2,0,5000.0,0.8163424063904786,0.9332558862118555,0.5209837515411763,0.61409012291259,finetuning
52,MLP8D030FB1,mlp,8,4,30,B-fb,0,10000.0,0.5370506048202515,0.7871872782707214,0.3153324425220489,0.4957959055900574,finetuning
53,MLP8D030FB2,mlp,8,4,30,B-fW2,0,40000.0,1.1386502981185913,1.0495643615722656,0.8020964860916138,0.7432044744491577,finetuning
54,MLP8D050FA,mlp,8,4,50,A,0,,5.338728458127044,4.849818498222812,3.612886101434982,3.706538223720009,finetuning
55,MLP8D050FC1,mlp,8,4,50,C-OLS,0,,0.9241121725086832,1.0223841708893548,0.6391465526727822,0.7169104026314912,finetuning
56,MLP8D050FC2,mlp,8,4,50,C-NNLS,0,,2.2148058975124085,2.1147928208968363,1.6751284464530485,1.5939071466751131,finetuning
57,MLP8D050FD,mlp,8,4,50,D-MLP2,0,5000.0,0.785422451775075,0.9043472223544657,0.5031182818641662,0.5980813218637303,finetuning
58,MLP8D050FB1,mlp,8,4,50,B-fb,0,10000.0,0.5446426272392273,0.769622802734375,0.31396618485450745,0.4837273955345154,finetuning
59,MLP8D050FB2,mlp,8,4,50,B-fW2,0,40000.0,1.1779882907867432,1.0868924856185913,0.8232604265213013,0.7897850871086121,finetuning
60,MLP8D070FA,mlp,8,4,70,A,0,,4.384159545696203,4.162281584407036,3.1811353766812083,3.2583358342638236,finetuning
61,MLP8D070FC1,mlp,8,4,70,C-OLS,0,,0.9120775868373248,1.0112162879697753,0.6296546866210083,0.6927480318783719,finetuning
62,MLP8D070FC2,mlp,8,4,70,C-NNLS,0,,2.237837498323704,2.168358710752662,1.65974910282075,1.6237297256665186,finetuning
63,MLP8D070FD,mlp,8,4,70,D-MLP2,0,5000.0,0.7472083674554216,0.8905564698118719,0.4589708588293438,0.5776821671751605,finetuning
64,MLP8D070FB1,mlp,8,4,70,B-fb,0,10000.0,0.5387784242630005,0.7620759010314941,0.31771954894065857,0.4867942333221436,finetuning
65,MLP8D070FB2,mlp,8,4,70,B-fW2,0,40000.0,1.151655912399292,1.0220209360122678,0.8027512431144714,0.7465139627456665,finetuning
66,MLP8D0100FA,mlp,8,4,100,A,0,,4.50628340310844,4.328067808803192,3.2121883876197153,3.3124409594870023,finetuning
67,MLP8D0100FC1,mlp,8,4,100,C-OLS,0,,0.9610679781078867,0.9746878827125223,0.66444439348795,0.6919813381530229,finetuning
68,MLP8D0100FC2,mlp,8,4,100,C-NNLS,0,,2.2981988527142265,2.1882625581054738,1.7277945711644314,1.6643483379430262,finetuning
